id,name,slug,category,price,description,artist,image,featured,createdAt,updatedAt
5,Étalon Majestueux,talon-majestueux,Peinture,9950,"Ce tableau captivant célèbre la beauté et la noblesse d'un étalon blanc. Le mouvement fluide de sa crinière et son regard perçant évoquent à la fois la liberté et la puissance. Les tons doux et harmonieux de l'œuvre créent une atmosphère apaisante et élégante, parfaite pour enrichir votre espace avec une touche de grâce et de majesté.",Axel,/images/products/7c80cc26-3197-4d71-9c1d-bcafadae137d.png,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
6,language des sage,language-des-sage,Autre,2000,Œuvre artistique originale.,Axel,/images/products/3e70379f-b15c-4b25-bcbf-ad533e0a27dd.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
7,Abstract Colorful Mosaic,abstract-colorful-mosaic,Autre,2500,"This vibrant artwork features a stunning mosaic of bold colors and abstract shapes. The intricate interplay of lines and patterns creates a dynamic and energetic composition, perfect for adding a modern and lively touch to any space.",Axel,/images/products/6954e387-ca32-4557-91ab-f217eded5668.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
8,Cubist Face with Bold Colors,cubist-face-with-bold-colors,Peinture,2500,"This cubist-inspired painting captures the essence of human emotion through fragmented geometric shapes and vivid hues. The expressive face emerges from abstract forms, inviting the viewer to explore the complexity of identity and perception.",Axel,/images/products/f22be33c-ae58-4b29-910d-6bd1bf3a2015.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
9,Yellow Symbolic Grid,yellow-symbolic-grid,Peinture,2500,"A mesmerizing grid of abstract symbols stands out against a bright yellow background. This minimalist yet symbolic piece reflects a narrative of mystery and cultural depth, offering a striking focal point for contemporary interiors.",Axel,/images/products/9bbc07d7-885f-41fb-9cb8-bb130e19e464.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
10,Tableau acrylique de l’artiste Axel,tableau-acrylique-de-l-artiste-axel,Peinture,1000,Œuvre artistique originale.,Axel,/images/products/8b62b2ff-eeeb-4e17-9c9b-6c25d0ad9918.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
11,Femme amazone,femme-amazone,Peinture,5000,cette image représente la femme guerrière de l'époque de l'exploitation coloniale.ces femme était des femmes guerrière de l'empereur soundiata keita.son regard ici indique sa détermination a l'affrontement dû colon afin de protéger son territoire.les motifs sur son visage renvoie ici a un attachement a la nature.,Axel,/images/products/a6bd882a-437c-4f79-8461-478a59b6c3e3.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
12,lion de côte,lion-de-c-te,Autre,4500,Œuvre artistique originale.,Axel,/images/products/534b6d9c-8e9e-4c91-93bf-9548f55af69f.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
13,Visage Surréaliste Abstrait,visage-surr-aliste-abstrait,Peinture,1200,Ce portrait surréaliste mélange fluidité et couleurs vibrantes pour représenter un visage à la fois captivant et mystérieux. L’interaction des courbes et des nuances crée une sensation d’introspection et d’émerveillement. Cette œuvre unique ajoute une touche d’originalité et de modernité à n’importe quel espace.,Axel,/images/products/a1cda2b1-2c54-43ea-867c-edac9377a1b6.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
14,Scène Abstraite Dynamique en Vert et Orange,sc-ne-abstraite-dynamique-en-vert-et-orange,Peinture,3500,"Ce tableau abstrait mêle des formes dynamiques à des teintes naturelles de vert et des oranges vibrants. Les lignes fluides créent une sensation de mouvement et d'énergie, apportant vie et éclat à l'espace. Idéal pour ajouter une touche artistique moderne et énergique à votre intérieur.",Axel,/images/products/1dfbcfd0-65cc-47bb-bd24-b3f6b3b1a0b8.jpeg,false,Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00),Mon Apr 07 2025 22:37:04 GMT+0100 (GMT+01:00)
